expAB_z;i;q_r;modelFlux_r;expAB_i;expRad_u;q_g;psfMag_z;dec;psfMag_r;type
0.4170165;19.70056;-0.08830093;6.604713;0.3141995;12.74748;-0.09914301;19.8362;-0.0953336375967653;21.24423;galaxy
0.05;22.9695;0.191631;1.782291;0.0669525;3.223146e-4;-1.579175;22.6836;0.297244206695133;22.44771;galaxy
0.06444332;21.48092;0.03731426;2.259943;0.05394075;12.7476;-0.2221845;21.54184;0.394172656293499;22.05546;galaxy
0.3999712;21.39211;0.007146157;2.001279;0.2290551;7.347001;0.102135;21.30565;13.9192701991081;21.94323;galaxy
0.05;22.21696;0.2358956;1.66364;0.05;0.01397912;0.3815075;22.9845;-0.303649027554978;22.16185;galaxy
0.05;20.35281;0.05090339;3.387343;0.4726294;38.27283;-0.09513184;20.80075;0.380760286485776;21.59377;galaxy
0.05;21.90795;0.3069538;0.9311897;0.3696263;19.89674;-0.1070479;21.47179;-0.611720701284699;22.65924;galaxy
0.05;22.14805;0.04423681;1.110737;0.05;0.01655744;-0.0692427;22.48972;-1.08819233617974;22.50327;galaxy
0.05;21.02417;0.006752769;2.280594;0.6318915;5.457788;0.03176263;20.7738;0.801518387508654;21.99792;galaxy
0.1499854;21.57678;0.227996;1.308686;0.05;0.006314013;0.1519545;21.95671;0.078473407945468;22.3083;galaxy
0.2848281;21.32648;0.08969937;2.016432;0.3841206;4.247672;-1.031164;22.38989;-0.125196574978946;22.66837;galaxy
0.05;22.0576;0.125041;0.9277412;0.9997161;0.01292982;0.05792485;22.79378;0.982643787792591;22.82041;galaxy
0.05;22.10743;0.0871651;1.239874;0.9000212;36.90855;0.9276869;21.69851;12.0978374954762;22.58354;galaxy
0.05048496;19.24633;-0.1244768;11.50546;0.7209958;0.03452171;-0.01413396;19.23821;13.8625661355724;20.25232;galaxy
0.05;21.56446;-0.1159206;2.382993;0.3653383;0.08000512;0.2923992;21.82212;0.648584391344304;22.55073;galaxy
0.05;19.44942;-0.05357175;10.65336;0.611088;2.197709;-0.07328522;19.38739;13.2507754468144;20.29831;galaxy
0.05;20.93538;-0.1720664;3.62394;0.4251105;0.9288545;-0.01341229;21.65149;0.372357706316907;21.87924;galaxy
0.07935395;21.00761;-0.07076745;3.868762;0.2533973;0.30451;-0.2285648;21.95971;0.0187067654503085;21.87552;galaxy
0.05;19.79731;-0.05515289;6.351003;0.5126626;36.47683;0.1886412;20.15639;-5.60093428727582;21.34653;galaxy
0.05;20.53539;-0.02773813;3.620276;0.4306674;2.439673;-0.04862328;20.31088;-0.536390120244033;21.33303;galaxy
0.297138;21.073;0.06020548;2.06649;0.05;0.001659902;0.3628845;21.01243;2.72650819702621;21.66945;galaxy
0.1848773;21.27098;-0.05083325;2.107087;0.3625207;5.610384;0.1066436;20.88139;-0.371328233376276;21.88463;galaxy
0.3406305;21.6002;-0.05923391;2.43873;0.1175654;6.337742e-4;-0.04860434;21.44659;15.187993016097;21.9055;galaxy
0.3499952;22.4015;-0.05008473;0.9592838;0.05;1.832118;0.1643672;22.21473;0.193679919908943;22.81129;galaxy
0.2175839;20.38861;0.08780368;4.906563;0.5512715;5.290904;0.1395904;22.3239;-0.264224987792372;22.16812;galaxy
0.2048247;21.35527;-0.1097392;2.527086;0.3748457;0.9336841;0.05447151;21.76156;-3.34882731780326;22.0228;galaxy
0.1862153;19.97077;0.3744219;7.01697;0.2163175;4.915055;-0.6579508;19.81154;0.841592122188163;23.36518;galaxy
0.08762234;21.46076;-0.1059845;1.011982;0.5950112;0.04298816;-0.268764;21.45226;-0.125466215159367;22.45845;galaxy
0.2994024;18.98853;-0.1180569;16.0307;0.4502992;3.410188;-0.1256205;19.5122;1.40016600502589;20.46781;galaxy
0.585224;15.34246;-0.07125273;502.0425;0.5529361;3.041608;-0.07193413;16.8094;0.567971366200594;17.61568;galaxy
0.3789913;20.23687;0.05327652;4.833879;0.3174008;1.136466;0.3133742;20.95471;14.9070795477683;21.89087;galaxy
0.05;21.21666;-0.03519282;3.011756;0.3274904;4.94604;-0.4181803;21.4455;1.23377696294316;22.04391;galaxy
0.4930358;20.36918;-0.07621092;5.381649;0.6757574;0.4667347;-0.03342935;20.26918;0.785677244457023;20.80738;galaxy
0.05;19.61336;0.08925831;7.065813;0.6148878;0.04465673;-0.2316729;19.83432;1.2874344679457;21.22812;galaxy
0.05;21.58311;-0.008785252;1.846835;0.1440565;0.805464;-0.1448757;21.50364;13.8391119116135;22.19116;galaxy
0.05;20.65684;0.3591649;3.623631;0.1498937;1.875305;0.5397555;20.88286;0.54711608787357;21.93472;galaxy
0.1499942;22.26162;0.03625344;1.081629;0.1281007;1.418656;0.1101403;22.15473;-0.0386074130531713;22.84933;galaxy
0.07618736;22.5973;0.02215524;1.388561;0.08101659;4.244877;0.001630279;23.33785;0.391326220007044;22.9296;galaxy
0.05;22.43776;0.7181731;1.038361;0.4682464;1.028016;0.1974994;22.46192;0.0628914529988194;22.71868;galaxy
0.05;21.3043;0.1013098;2.548185;0.9029174;2.787866e-4;0.07009645;22.00139;0.556043495147919;22.21379;galaxy
0.05;21.16475;-0.05608009;2.014585;0.3364326;0.8198293;7.150278;22.64262;0.615755211633082;22.76232;galaxy
0.05;20.96217;-0.006625385;3.601967;0.05;3.893858;0.06589711;20.78819;0.505052957169355;21.59107;galaxy
0.3917511;22.57688;-0.0164807;1.296086;0.1499951;0.7903724;-0.2579328;21.7925;-0.285582786545993;22.9979;galaxy
0.9130543;18.44975;0.03993103;25.63556;0.7160979;0.9126874;0.0436784;18.77958;-0.443629946974581;19.81758;galaxy
0.3000009;21.01604;0.108014;3.465308;0.1294114;1.025614;0.5776222;21.09476;14.9410699124297;22.09506;galaxy
0.517836;18.71278;0.01380559;24.43601;0.9231541;0.7800639;0.03386724;19.099240000000002;-0.627907932966115;19.6097;galaxy
0.05;21.41584;-0.2864087;2.283001;0.5000031;2.137034;-0.2013101;22.47293;-0.0696859525482812;22.59473;galaxy
0.4963152;21.95726;0.07367463;1.635464;0.2999675;0.7323388;0.7925992;22.31804;-0.117952999158491;22.74214;galaxy
0.2500116;21.04919;-0.03739718;1.596055;0.5297476;2.977961;0.01237312;21.60581;-0.273012007206049;22.73332;galaxy
0.3866146;19.87273;0.1167753;5.986639;0.6587382;3.50008;0.345246;20.25057;-1.02980792535474;21.35706;galaxy
0.05;20.63001;-0.06667293;3.495007;0.9996826;3.70818e-5;-0.06370957;20.56151;0.931283656043045;21.29668;galaxy
0.1096618;21.4715;-0.05295268;1.908818;0.7480314;0.002571;-0.1171427;21.707;0.447566172028816;22.93292;galaxy
0.5196996;20.71815;-0.06695011;1.677758;0.5474861;6.950775e-5;0.06145674;21.31531;0.660770905366581;22.40611;galaxy
0.4532106;22.11673;-0.006311126;1.883346;0.05;4.248723;0.1419788;22.30142;1.06966136172591;22.27905;galaxy
0.2999884;22.22839;-0.1496745;1.398896;0.05230021;3.300248;-0.8273801;22.26765;1.07955393020668;22.5661;galaxy
0.05;20.02752;0.06688555;5.425741;0.4192851;0.4714428;0.1805224;20.12363;1.40279499287175;21.22416;galaxy
0.05046854;21.78452;0.1130184;2.308205;0.1999854;5.736313e-4;0.00177421;20.65576;54.6216707347432;21.78384;galaxy
0.05;21.33176;-0.180962;2.58444;0.05;8.215394;-0.1750751;22.25413;0.236678596031201;22.51297;galaxy
0.05;21.62821;0.09617029;1.768198;0.1404683;0.001557784;0.1213193;21.85216;-1.11100197863005;22.23852;galaxy
0.05;22.86766;0.1298091;1.023908;0.05049028;1.727436;0.00878928;22.65921;0.0561594538668664;22.66215;galaxy
0.2933356;21.29318;-0.1122588;2.08188;0.5416846;0.3040968;-0.3887174;21.26225;-0.133366266391441;21.89739;galaxy
0.1501461;20.92422;-1.296091;3.962713;0.05;2.737772;-0.2424435;22.87709;1.14369560617935;24.24223;galaxy
0.05;20.04387;0.101442;5.025828;0.5388747;4.258914;0.9520929;19.91263;3.31205512956695;20.96841;galaxy
